value,description
Beer – light,330ml
Beer – Regular,330ml
"Spirits (brandy, vodka, gin, whiskey)",25ml (1 tot)
"Liqueur, coffee",25ml (1 tot)
"Sherry, Port, Muscadel",100ml
Wine – white or red,150ml
