value,description
Sugar,1 Tbs
Honey,1 Tbs
Syrup,1 Tbs
Jam,1 Tbs
Sports drinks,1 cup
"Coke, Fanta, Sprite, etc.",125 ml
"Just Juice, Minute Maid",125 ml
Fanta grape,100 ml
Lime cordial concentrate,200 ml
Oros concentrate,200 ml
Hot chocolate powder (23g),40.5 tsp
Ice tea,200–250 ml
Energy drink,125 ml
Jelly sweets,4
Hard boiled sweets,5
Toffee,5 (plus 1 fat)
Marshmallows,2
Tomato sauce,3 Tbs
Chutney,2 Tbs
Mustard,1 Tbs
Sweet chilli sauce,2 tsp
