Lunch Options
"Whole wheat wrap/sandwich with: Chickpea tuna and rainbow slaw / Soya chicken with salad veggies and hummus / Falafel with avo, hummus, salad"
"Grain bowl: quinoa/brown rice, chickpeas/tofu, veggies, tahini/pesto"
"Pasta salad: wholegrain pasta, chickpeas or edamame, rocket, tomato, cucumber, dressing"
Stir fry: tofu/edamame + vegetables + brown rice or noodles
Vegan or vegetarian burger with salad/coleslaw
"Legume curry (dal, chana, rajma, lentils) + rice/rooti/idli"
"Buddha bowl: greens, roast veggies, hummus, tofu/chickpeas"
Barley salad with veg and flax oil
Couscous bowl with roasted veggies and beans
Leftovers from dinner
