Snack Options
"Fresh fruit (banana, apple, orange, mango, grapes, berries)"
"Dried fruit (dates, raisins, dried mango)"
"Nuts and seeds (cashews, almonds, sunflower seeds, pumpkin seeds)"
"Nut butter on rice cakes, toast, crackers, or fruit"
Dark chocolate (10g square)
Roasted chickpeas or edamame
Vegan cheese slices
"Protein bars (PhytoPro, Trek, Youthful Living)"
Low-fat yoghurt / coconut/cashew yoghurt
Popcorn (3 cups)
Pretzels
"Provitas or rice cakes with toppings (avo, cheese, hummus)"
1-2 small date balls
